tour_id,tour,opponent,host_country,season,start_date,end_date,matches,formats,innings,runs,hs,avg,strike_rate,fours,sixes,away
India in Bangladesh 2022 — v Bangladesh|Bangladesh,India in Bangladesh 2022 — v Bangladesh,Bangladesh,Bangladesh,2022,2022-12-04,2022-12-22,5,Test+ODI,7,172,113,28.67,71.37,16,2,yes
v Sri Lanka in India 2023|Sri Lanka,v Sri Lanka in India 2023,Sri Lanka,India,2023,2023-01-10,2023-11-02,4,ODI,4,371,166*,123.67,123.67,37,9,no
v New Zealand in India 2023|New Zealand,v New Zealand in India 2023,New Zealand,India,2023,2023-01-18,2023-11-15,5,ODI,5,267,117,53.4,101.52,23,5,no
v Australia in India 2023|Australia,v Australia in India 2023,Australia,India,2023,2023-02-09,2023-11-19,10,Test+ODI,12,581,186,48.42,61.87,50,2,no
Tournament in England 2023|Australia,Tournament in England 2023,Australia,England,2023,2023-06-07,2023-06-07,1,Test,2,63,49,31.5,57.8,9,0,yes
India in West Indies 2023 — v West Indies|West Indies,India in West Indies 2023 — v West Indies,West Indies,West Indies,2023,2023-07-12,2023-07-20,2,Test,2,197,121,98.5,50.77,16,0,yes
Tournament in Sri Lanka 2023|Pakistan,Tournament in Sri Lanka 2023,Pakistan,Sri Lanka,2023,2023-09-02,2023-09-10,2,ODI,2,126,122*,126,124.75,10,3,yes
India in Sri Lanka 2023 — v Sri Lanka|Sri Lanka,India in Sri Lanka 2023 — v Sri Lanka,Sri Lanka,Sri Lanka,2023,2023-09-12,2023-09-12,1,ODI,1,3,3,3,25,0,0,yes
v Afghanistan in India 2023|Afghanistan,v Afghanistan in India 2023,Afghanistan,India,2023,2023-10-11,2023-10-11,1,ODI,1,55,55*,-,98.21,6,0,no
v Pakistan in India 2023|Pakistan,v Pakistan in India 2023,Pakistan,India,2023,2023-10-14,2023-10-14,1,ODI,1,16,16,16,88.89,3,0,no
v Bangladesh in India 2023|Bangladesh,v Bangladesh in India 2023,Bangladesh,India,2023,2023-10-19,2023-10-19,1,ODI,1,103,103*,-,106.19,6,4,no
v England in India 2023|England,v England in India 2023,England,India,2023,2023-10-29,2023-10-29,1,ODI,1,0,0,0,0,0,0,no
v South Africa in India 2023|South Africa,v South Africa in India 2023,South Africa,India,2023,2023-11-05,2023-11-05,1,ODI,1,101,101*,-,83.47,10,0,no
v Netherlands in India 2023|Netherlands,v Netherlands in India 2023,Netherlands,India,2023,2023-11-12,2023-11-12,1,ODI,1,51,51,51,91.07,5,1,no
India in South Africa 2024 — v South Africa|South Africa,India in South Africa 2024 — v South Africa,South Africa,South Africa,2024,2023-12-26,2024-01-03,2,Test,4,172,76,43,79.63,25,2,yes
